번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g),년도
2155,과자류,벨지안 화이트 초코 청크 앤 레몬 쿠키,30,58.8,7.2,0.6,2.94,3.78,42,0,1.32,0,2013
2156,과자류,벨지안 화이트 초코 청크 앤 레몬 쿠키,30,44.1,5.4,0.45,2.2,2.84,31.5,0,0.99,0,2017
2157,과자류,벨지안스페큘러스 쿠키,30,70.5,10.5,1.2,2.7,5.1,51,0,1.17,0,2013
2158,과자류,벨지안스페큘러스 쿠키,30,42.3,6.3,0.72,1.62,3.06,30.6,0,0.7,0,2017
2159,과자류,별따먹자,30,46.36,6.27,0.55,2.18,1,49.09,0,0.6,0,2017
2160,과자류,별따먹자콩고물맛,30,150,19.53,2.09,6.98,4.19,90.7,0,2.09,0,2012
2161,과자류,별따먹자콩고물맛,30,104.65,13.63,1.46,4.87,1.26,63.28,0,1.46,0,2017
2162,과자류,별모양 초코콘,30,65.1,6.6,0.6,4.2,6.3,7.8,0.6,3.6,0.24,2013
2163,과자류,별모양 초코콘,30,50.08,5.08,0.46,3.23,4.85,6,0.46,2.77,0.18,2017
2164,과자류,별뽀빠이,100,450,73.3,6.7,14,16.7,283.3,0,8,0,2015
2165,과자류,별뽀빠이,30,40.5,6.6,0.6,1.26,1.5,25.5,0,0.72,0,2017
2166,과자류,별색모나카(크라운제과),30,101.47,24.2,1.1,0.03,9.34,33.74,0.17,0,0,2015
2167,과자류,별색모나카(크라운제과),30,30.44,7.26,0.33,0.01,2.8,10.12,0.05,0,0,2017
2168,과자류,보나비타 무슬리,30,41.1,6.6,0.6,1.5,3.3,22.5,6.6,0.9,0,2013
2169,과자류,보나비타 무슬리,30,41.1,6.6,0.6,1.5,3.3,22.5,6.6,0.9,0,2017
2170,과자류,보라칩,30,34.2,7.32,0.28,0.44,0.51,2.49,0,0.17,0,2013
2171,과자류,보라칩,30,34.2,7.32,0.28,0.44,0.51,2.49,0,0.17,0,2017
2172,과자류,보르그레베 링비스킷,30,64.8,7.5,0.6,3.6,2.7,24,0,1.8,0,2013
2173,과자류,보르그레베 링비스킷,30,48.6,5.62,0.45,2.7,2.03,18,0,1.35,0,2017
2174,과자류,보르그레베 버터쿠키,30,57,8.7,0.72,2.1,4.5,36,0,1.44,0,2013
2175,과자류,보르그레베 버터쿠키,30,42.75,6.53,0.54,1.58,3.38,27,0,1.08,0,2017
2176,과자류,보르그레베 숏브레드 비스킷,30,63.6,7.2,0.6,3.6,2.7,25.2,0,2.1,0,2013
2177,과자류,보르그레베 숏브레드 비스킷,30,47.7,5.4,0.45,2.7,2.03,18.9,0,1.58,0,2017
2178,과자류,보르그레베 스파이스드 아몬드 비스킷,30,44.1,5.7,0.6,2.1,2.4,27,0,0.84,0,2013
2179,과자류,보르그레베 스파이스드 아몬드 비스킷,30,44.1,5.7,0.6,2.1,2.4,27,0,0.84,0,2017
2180,과자류,보르그레베 카라멜 비스킷,30,35.1,5.1,0.3,1.5,2.7,22.5,0,0.78,0,2013
2181,과자류,보르그레베 카라멜 비스킷,30,42.12,6.12,0.36,1.8,3.24,27,0,0.94,0,2017
2182,과자류,보석바,100,70,19,0,0.7,14,0,0,0.5,0,2015
2183,과자류,보석캔디,10,38.53,9.8,0,0.03,8.04,5.34,0,0,0,2012
2184,과자류,보석캔디,10,29.64,7.54,0,0.02,0.8,4.11,0,0,0,2017
2185,과자류,보울더 캐년 스피니치 앤 아티초크 포테이토 칩스,30,42,5.1,0.6,2.1,0,48,0,0.3,0.15,2013
2186,과자류,보울더 캐년 스피니치 앤 아티초크 포테이토 칩스,30,45,5.46,0.64,2.25,0,51.43,0,0.32,0.16,2017
2187,과자류,보울더 캐년 히커리 비비큐 포테이토 칩,30,42,5.1,0.6,2.1,0.3,52.5,0,0.3,0.15,2013
2188,과자류,보울더 캐년 히커리 비비큐 포테이토 칩,30,45,5.46,0.64,2.25,0.32,56.25,0,0.32,0.16,2017
2189,과자류,보이바왕 콘닉크 레촌마녹 플레이버,30,39.9,6,0.9,1.5,0.6,81,0,0.75,0,2013
2190,과자류,보이바왕 콘닉크 레촌마녹 플레이버,30,39.9,6,0.9,1.5,0.6,81,0,0.75,0,2017
2191,과자류,보이바왕 콘닉크 마늘맛,30,44.7,5.7,0.9,2.1,0.15,69,0,1.5,0,2013
2192,과자류,보이바왕 콘닉크 마늘맛,30,44.7,5.7,0.9,2.1,0.15,69,0,1.5,0,2017
2193,과자류,복숭아 구미100,10,7.4,1.72,0.1,0.01,1.5,0.7,0,0,0,2013
2194,과자류,복숭아 구미100,10,3.22,0.75,0.04,0,0.6,0.3,0,0,0,2017
2195,과자류,복숭아맛요거트푸딩,100,80,18,1,0,11,60,0,0,0,2013
2196,과자류,복숭아맛요거트푸딩,100,114.29,25.71,1.43,0,17.78,85.71,0,0,0,2017
2197,과자류,복숭아향 고리모양젤리,10,5.34,1.25,0.09,0,0.97,0.64,0,0,0,2013
